Project Universal ID,Project Name,Builders,Parent Builder,Status,Master Plan Name,Master Plan Developer Name,Plan Name,Bedrooms,Bathrooms,Floors,Garages,Unit Size,List Price,Last Update Date,Plan Universal ID,Active Adult,ZIP Code,City,County,County Code,CBSA,CBSA Code,State,School District,School Attendance Zone (Elementary),School Ratings (Elementary),School Attendance Zone (Middle),School Ratings (Middle),School Attendance Zone (High),School Ratings (High),Boundary Names,Latitude,Longitude
aAfPc000001XcdpKAC,Porter and Main,Fieldstone Communities,,Active,,,Residence 3,5,4,2,2,3110,898000,10/22/2025,aAaPc000000dV0jKAE,Non Active Adult,95678,Roseville,Placer,6061,"Sacramento-Roseville-Folsom, CA",40900,CA,Roseville City Elementary School District,William Kaseberg Elementary School,7,George A. Buljan Middle School,4,Roseville High School,8,Roseville,38.75298,-121.30271
aAfPc000001cz5PKAQ,Cresleigh Ranch/Park Haven,Cresleigh Homes,,Active,,,Residence 1,3,2,1,2,1342,510000,11/10/2025,aAaPc000000gBciKAE,Non Active Adult,95742,Rancho Cordova,Sacramento,6067,"Sacramento-Roseville-Folsom, CA",40900,CA,Elk Grove Unified School District,Sunrise Elementary School,7,Katherine L. Albiani Middle School,8,Pleasant Grove High School,9,Rancho Cordova,38.55351,-121.22329
aAfPc000001cz5PKAQ,Cresleigh Ranch/Park Haven,Cresleigh Homes,,Active,,,Residence 2,3,2.5,2,2,1651,553000,11/10/2025,aAaPc000000gBcjKAE,Non Active Adult,95742,Rancho Cordova,Sacramento,6067,"Sacramento-Roseville-Folsom, CA",40900,CA,Elk Grove Unified School District,Sunrise Elementary School,7,Katherine L. Albiani Middle School,8,Pleasant Grove High School,9,Rancho Cordova,38.55351,-121.22329
aAfPc000001cz5PKAQ,Cresleigh Ranch/Park Haven,Cresleigh Homes,,Active,,,Residence 3,3,3,1,2,1831,561000,11/10/2025,aAaPc000000gF7YKAU,Non Active Adult,95742,Rancho Cordova,Sacramento,6067,"Sacramento-Roseville-Folsom, CA",40900,CA,Elk Grove Unified School District,Sunrise Elementary School,7,Katherine L. Albiani Middle School,8,Pleasant Grove High School,9,Rancho Cordova,38.55351,-121.22329
aAfPc000001cz5PKAQ,Cresleigh Ranch/Park Haven,Cresleigh Homes,,Active,,,Residence 4,3,2.5,2,2,2221,595000,11/10/2025,aAaPc000000gF7ZKAU,Non Active Adult,95742,Rancho Cordova,Sacramento,6067,"Sacramento-Roseville-Folsom, CA",40900,CA,Elk Grove Unified School District,Sunrise Elementary School,7,Katherine L. Albiani Middle School,8,Pleasant Grove High School,9,Rancho Cordova,38.55351,-121.22329
aAfPc000001cz5PKAQ,Cresleigh Ranch/Park Haven,Cresleigh Homes,,Active,,,Residence 5,4,2.5,2,2,2547,615000,11/10/2025,aAaPc000000gF7aKAE,Non Active Adult,95742,Rancho Cordova,Sacramento,6067,"Sacramento-Roseville-Folsom, CA",40900,CA,Elk Grove Unified School District,Sunrise Elementary School,7,Katherine L. Albiani Middle School,8,Pleasant Grove High School,9,Rancho Cordova,38.55351,-121.22329
aAfPc000001gcQ5KAI,Parkfield at Placer One,JMC Homes,,Active,Placer One,"Taylor Builders, LLC",Plan: 1887,4,3,1,3,1887,649990,11/25/2025,aAaPc000000gndpKAA,Non Active Adult,95747,Roseville,Placer,6061,"Sacramento-Roseville-Folsom, CA",40900,CA,Roseville City Elementary School District,,,George A. Buljan Middle School,4,West Park High,8,Roseville,38.8117,-121.35046
aAfPc000001gcQ5KAI,Parkfield at Placer One,JMC Homes,,Active,Placer One,"Taylor Builders, LLC",Plan: 2254,3,3,2,3,2254,749990,11/25/2025,aAaPc000000gnfRKAQ,Non Active Adult,95747,Roseville,Placer,6061,"Sacramento-Roseville-Folsom, CA",40900,CA,Roseville City Elementary School District,,,George A. Buljan Middle School,4,West Park High,8,Roseville,38.8117,-121.35046
aAfPc000001gcQ5KAI,Parkfield at Placer One,JMC Homes,,Active,Placer One,"Taylor Builders, LLC",Plan: 2872,4,3,2,4,2872,829990,11/25/2025,aAaPc000000gnh3KAA,Non Active Adult,95747,Roseville,Placer,6061,"Sacramento-Roseville-Folsom, CA",40900,CA,Roseville City Elementary School District,,,George A. Buljan Middle School,4,West Park High,8,Roseville,38.8117,-121.35046
aAfPc0000009y8DKAQ,Rialto/Twelve Bridges,Century Communities,"Century Communities, Inc.",Active,Twelve Bridges,"Placer Holdings, Inc.",Plan 5,2,2,0,2,1118,525000,12/3/2025,aAaPc000000gvldKAA,Non Active Adult,95648,Lincoln,Placer,6061,"Sacramento-Roseville-Folsom, CA",40900,CA,Western Placer Unified School District,Twelve Bridges Elementary School,7,Twelve Bridges Middle School,8,Twelve Bridges High School,7,Lincoln,38.8559,-121.29072
aAfPc000001Yf8EKAS,Willow at Winding Creek,Beazer Homes,,Active,Winding Creek,Anthem United,Nutmeg,4,3,2,2,2470,674990,12/7/2025,aAaPc000000hloTKAQ,Non Active Adult,95747,Roseville,Placer,6061,"Sacramento-Roseville-Folsom, CA",40900,CA,Roseville City Elementary School District,,,Robert C. Cooley Middle School,7,West Park High,8,Roseville,38.8039,-121.3829
aAfPc000001Yf8EKAS,Willow at Winding Creek,Beazer Homes,,Active,Winding Creek,Anthem United,Olive,3,2.5,2,1,2104,604990,12/7/2025,aAaPc000000hloUKAQ,Non Active Adult,95747,Roseville,Placer,6061,"Sacramento-Roseville-Folsom, CA",40900,CA,Roseville City Elementary School District,,,Robert C. Cooley Middle School,7,West Park High,8,Roseville,38.8039,-121.3829
aAfPc000001Yf8EKAS,Willow at Winding Creek,Beazer Homes,,Active,Winding Creek,Anthem United,Mahogany,5,3.5,2,2,2724,704990,12/7/2025,aAaPc000000hloWKAQ,Non Active Adult,95747,Roseville,Placer,6061,"Sacramento-Roseville-Folsom, CA",40900,CA,Roseville City Elementary School District,,,Robert C. Cooley Middle School,7,West Park High,8,Roseville,38.8039,-121.3829
